"Theta [deg]","normalize(GainTotal) [] - Freq='2GHz' Phi='0deg'"
0,5.32833288029874E-06
2,0.000129910023108049
4,0.000492003995808617
6,0.0010741543066794
8,0.00184674171825451
10,0.00276964268950978
12,0.00379477527182882
14,0.00486959557105771
16,0.00594157950449688
18,0.00696366989199816
20,0.00790058950551456
22,0.00873582234342538
24,0.00947895890938089
26,0.0101730017668176
28,0.010901152506986
30,0.0117925669892924
32,0.0130265838807738
34,0.0148350049724604
36,0.0175021259160695
38,0.0213623626206567
40,0.0267954623209945
42,0.0342193968478418
44,0.0440810812267291
46,0.0568450288796925
48,0.0729799507451276
50,0.0929431579105613
52,0.117162485509125
54,0.146015383745125
56,0.17980488721002
58,0.218732432141904
60,0.262867972295458
62,0.31211853599012
64,0.366197206872971
66,0.424595382131579
68,0.486561901382219
70,0.551093059158019
72,0.616937434229642
74,0.682618760708646
76,0.746478691783912
78,0.806739351579557
80,0.8615832473694
82,0.909245742991361
84,0.948113249826827
86,0.97681893404861
88,0.994327338808728
90,1
92,0.993635838350205
94,0.975482612217057
96,0.946218659475524
98,0.906907126802241
100,0.858927478077209
102,0.803890969965222
104,0.743547789886071
106,0.679693624484729
108,0.614082657872611
110,0.548352586401605
112,0.483965439042386
114,0.422166080429973
116,0.363958488618979
118,0.310098423645214
120,0.261100044255425
122,0.217253422420907
124,0.178649718789672
126,0.145210941713177
128,0.116721617291108
130,0.0928602413016463
132,0.0732289686143457
134,0.0573805443652377
136,0.0448419418363893
138,0.0351345188216835
140,0.0277907347145681
142,0.0223675997730936
144,0.0184570819541743
146,0.0156937050244755
148,0.0137595615560019
150,0.0123869562579614
152,0.0113589002326995
154,0.0105076975906182
156,0.00971189778170614
158,0.00889192125837182
160,0.00800469301178601
162,0.00703763022451047
164,0.00600232234408373
166,0.00492821396761401
168,0.00385655635395279
170,0.00283483801159099
172,0.00191184564483722
174,0.00113345054799595
176,0.000539167797283115
178,0.000159499851693519
180,1.40538359314355E-05
