"Theta [deg]","normalize(GainTotal) [] - Freq='3GHz' Phi='0deg'"
0,0.000237644763302146
2,0.0031002807566243
4,0.0100849304006168
6,0.0212413432998395
8,0.0367085874710877
10,0.0567045307664749
12,0.081507976273463
14,0.111432126354549
16,0.14678828937769
18,0.187839613250907
20,0.23474613390314
22,0.287504345957412
24,0.345886339713583
26,0.409384593169615
28,0.477168097129838
30,0.548053445589294
32,0.620491580122283
34,0.692568788992016
36,0.762021514774325
38,0.826269800605941
40,0.882482575275406
42,0.927694878931427
44,0.958995811591934
46,0.973791006484154
48,0.970115296754456
50,0.94693931340674
52,0.904394298960219
54,0.84384792465407
56,0.767804602020039
58,0.679662995396586
60,0.583412821960882
62,0.483363763509206
64,0.383960455075069
66,0.289666603776271
68,0.204838255818692
70,0.133491525106119
72,0.0789194386951166
74,0.0432046857659215
76,0.0267617693151293
78,0.0280753027334856
80,0.0437605586127388
82,0.0689759149481267
84,0.0981093157876285
86,0.125588063109594
88,0.146646815823792
90,0.157926226455399
92,0.157837140151994
94,0.146682869364275
96,0.126566958051039
98,0.101124976939306
100,0.075116664795269
102,0.053911699944459
104,0.0429058859381431
106,0.0469145003132286
108,0.0696008473512779
110,0.113004475292818
112,0.177230801471226
114,0.260350588385312
116,0.358534587652221
118,0.466417943449484
120,0.5776543379619
122,0.68558706331494
124,0.783940715723639
126,0.867430560199597
128,0.932201273054815
130,0.976041254462099
132,0.998364842513823
134,1
136,0.982851008100362
138,0.949516838529306
140,0.902935980983973
142,0.846104040997151
144,0.781881287033905
146,0.712882771904588
148,0.641429261248062
150,0.569533873885803
152,0.498904260860693
154,0.430948821896149
156,0.366783722497747
158,0.307242787403342
160,0.252894064463225
162,0.204065772125495
164,0.160881904689367
166,0.123305340169714
168,0.0911847452330997
170,0.0643011730821824
172,0.0424108135780273
174,0.0252814555146332
176,0.0127214087567402
178,0.00460056850082301
180,0.000863808462078776
