"Freq [GHz]","dB(S(1,1)) []"
0.2,-0.0130404773091518
0.204,-0.0136284178353397
0.208,-0.0142333502255
0.212,-0.0148556395543444
0.216,-0.0154956634275092
0.22,-0.0161538123763567
0.224,-0.0168304902693109
0.228,-0.017526114740356
0.232,-0.0182411176355534
0.236,-0.0189759454782141
0.24,-0.0197310599536662
0.244,-0.0205069384144009
0.248,-0.0213040744064754
0.252,-0.022122978218223
0.256,-0.0229641774521398
0.26,-0.0238282176210727
0.264,-0.024715662769792
0.268,-0.0256270961230805
0.272,-0.0265631207615925
0.276,-0.0275243603267159
0.28,-0.0285114597558587
0.284,-0.0295250860494786
0.288,-0.0305659290714479
0.292,-0.0316347023842653
0.296,-0.0327321441207862
0.3,-0.0338590178942435
0.304,-0.0350161137483674
0.308,-0.0362042491495401
0.312,-0.0374242700231001
0.316,-0.0386770518358403
0.32,-0.0399635007270991
0.324,-0.0412845546907733
0.328,-0.0426411848107765
0.332,-0.0440343965527093
0.336,-0.0454652311144576
0.34,-0.0469347668388093
0.344,-0.0484441206911589
0.348,-0.0499944498057222
0.352,-0.0515869531037013
0.356,-0.0532228729872038
0.36,-0.0549034971128199
0.364,-0.0566301602490508
0.368,-0.0584042462219969
0.372,-0.0602271899539903
0.376,-0.0621004796001387
0.38,-0.0640256587879973
0.384,-0.0660043289659691
0.388,-0.068038151866278
0.392,-0.0701288520888419
0.396,-0.0722782198125687
0.4,-0.0744881136412278
0.404,-0.0767604635912471
0.408,-0.0790972742294464
0.412,-0.0815006279690564
0.416,-0.083972688533006
0.42,-0.0865157045939352
0.424,-0.0891320136010701
0.428,-0.0918240458046362
0.432,-0.0945943284892806
0.436,-0.0974454904286046
0.44,-0.100380266573762
0.444,-0.103401502989849
0.448,-0.106512162054786
0.452,-0.109715327936271
0.456,-0.113014212363461
0.46,-0.116412160711103
0.464,-0.119912658415075
0.468,-0.12351933773947
0.472,-0.127235984916817
0.476,-0.131066547684384
0.48,-0.135015143241162
0.484,-0.139086066651775
0.488,-0.143283799725303
0.492,-0.147613020399081
0.496,-0.152078612659444
0.5,-0.156685677033837
0.504,-0.161439541690846
0.508,-0.16634577418765
0.512,-0.1714101939068
0.516,-0.176638885227589
0.52,-0.18203821148023
0.524,-0.187614829734783
0.528,-0.193375706480318
0.532,-0.199328134254062
0.536,-0.20547974928448
0.54,-0.211838550217083
0.544,-0.218412917996753
0.548,-0.225211636986002
0.552,-0.232243917404337
0.556,-0.239519419180544
0.56,-0.247048277316437
0.564,-0.254841128868251
0.568,-0.26290914165989
0.572,-0.271264044851073
0.576,-0.279918161492796
0.58,-0.288884443212943
0.584,-0.298176507185853
0.588,-0.307808675551756
0.592,-0.317796017464956
0.596,-0.328154393963822
0.6,-0.338900505870843
0.604,-0.350051944947624
0.608,-0.361627248547569
0.612,-0.373645958028528
0.616,-0.386128681208671
0.62,-0.399097159171742
0.624,-0.412574337752631
0.628,-0.426584444060944
0.632,-0.441153068429521
0.636,-0.456307252206248
0.64,-0.47207558184185
0.644,-0.488488289763309
0.648,-0.505577362562919
0.652,-0.523376657076398
0.656,-0.541922024970819
0.66,-0.5612514465142
0.664,-0.581405174254102
0.668,-0.602425887392556
0.672,-0.624358857709548
0.676,-0.647252127957839
0.68,-0.671156703727769
0.684,-0.696126759863101
0.688,-0.722219862597968
0.692,-0.749497208681063
0.696,-0.77802388285708
0.7,-0.807869135187713
0.704,-0.83910667981522
0.708,-0.871815016902533
0.712,-0.906077779624391
0.716,-0.941984108236023
0.72,-0.97962905340949
0.724,-1.01911401120439
0.728,-1.0605471922299
0.732,-1.10404412776054
0.736,-1.14972821578998
0.74,-1.19773131024683
0.744,-1.24819435685669
0.748,-1.30126807941668
0.752,-1.35711372055677
0.756,-1.41590384139873
0.76,-1.47782318489407
0.764,-1.54306960803225
0.768,-1.61185508856721
0.772,-1.68440681242319
0.776,-1.76096834852239
0.78,-1.84180091844143
0.784,-1.9271847690711
0.788,-2.01742065734782
0.792,-2.11283145717655
0.796,-2.21376389991051
0.8,-2.32059046124006
0.804,-2.43371140912743
0.808,-2.55355702957358
0.812,-2.68059004959874
0.816,-2.81530827995118
0.82,-2.95824750383222
0.824,-3.10998464244912
0.828,-3.2711412335858
0.832,-3.44238726570069
0.836,-3.62444541735212
0.84,-3.81809575994702
0.844,-4.02418099064242
0.848,-4.24361227110406
0.852,-4.47737575556711
0.856,-4.72653989610401
0.86,-4.99226361041891
0.864,-5.2758053813853
0.868,-5.57853331694502
0.872,-5.90193611535748
0.876,-6.24763472287824
0.88,-6.61739418595638
0.884,-7.01313469838952
0.888,-7.4369399727788
0.892,-7.89105956300065
0.896,-8.37789917852409
0.9,-8.89998858157243
0.904,-9.45990899817662
0.908,-10.060148808733
0.912,-10.7028338109374
0.916,-11.3892406793198
0.92,-12.1189416747297
0.924,-12.888340045968
0.928,-13.6882548797324
0.932,-14.5001959486162
0.936,-15.2913403136342
0.94,-16.009661675743
0.944,-16.5838351149113
0.948,-16.9356462590492
0.952,-17.0079630610092
0.956,-16.7935570649165
0.96,-16.3391447577863
0.964,-15.7205187783743
0.968,-15.0121958389726
0.972,-14.2709900134481
0.976,-13.5337976812224
0.98,-12.8218839722054
0.984,-12.146096243675
0.988,-11.5109405952755
0.992,-10.9172899428487
0.996,-10.3640472656119
1,-9.84912418133017
1.004,-9.37000059912912
1.008,-8.92403656659954
1.012,-8.5086401533052
1.016,-8.12135268492825
1.02,-7.75988708339207
1.024,-7.42214004688887
1.028,-7.10619005253752
1.032,-6.81028807708778
1.036,-6.53284497171244
1.04,-6.27241770348369
1.044,-6.02769567264975
1.048,-5.79748773239239
1.052,-5.58071020242416
1.056,-5.37637597780498
1.06,-5.18358472984131
1.064,-5.00151414147055
1.068,-4.82941209411993
1.072,-4.66658971417702
1.076,-4.51241518750572
1.08,-4.36630825551802
1.084,-4.22773531360517
1.088,-4.09620504078655
1.092,-3.97126449743412
1.096,-3.85249563545709
1.1,-3.73951217218895
1.104,-3.63195678534371
1.108,-3.52949859181045
1.112,-3.43183087777971
1.116,-3.33866905180685
1.12,-3.24974879598339
1.124,-3.16482439347628
1.128,-3.0836672133685
1.132,-3.00606433604879
1.136,-2.93181730440449
1.14,-2.8607409878116
1.144,-2.79266254742856
1.148,-2.72742049261665
1.152,-2.66486381945853
1.156,-2.60485122334964
1.16,-2.54725037851662
1.164,-2.49193727808773
1.168,-2.43879562901927
1.172,-2.38771629677915
1.176,-2.33859679521713
1.18,-2.29134081751798
1.184,-2.24585780454789
1.188,-2.20206254727189
1.192,-2.15987482024703
1.196,-2.11921904348774
1.2,-2.08002397025921
1.204,-2.04222239858769
1.208,-2.00575090448422
1.212,-1.97054959506497
1.216,-1.93656187991896
1.22,-1.90373425922408
1.224,-1.87201612724818
1.228,-1.8413595899936
1.232,-1.8117192958541
1.236,-1.78305227825198
1.24,-1.75531780931367
1.244,-1.72847726372283
1.248,-1.70249399196412
1.252,-1.67733320223735
1.256,-1.6529618503824
1.26,-1.62934853721039
1.264,-1.60646341268668
1.268,-1.5842780864567
1.272,-1.56276554424727
1.276,-1.54190006971367
1.28,-1.5216571713375
1.284,-1.50201351401141
1.288,-1.48294685497605
1.292,-1.4644359838003
1.296,-1.44646066612052
1.3,-1.42900159087584
1.304,-1.41204032079742
1.308,-1.39555924592737
1.312,-1.37954153996056
1.316,-1.36397111921766
1.32,-1.34883260407237
1.324,-1.33411128266865
1.328,-1.31979307677596
1.332,-1.30586450964169
1.336,-1.29231267571001
1.34,-1.2791252120859
1.344,-1.26629027163176
1.348,-1.25379649759205
1.352,-1.24163299964868
1.356,-1.22978933131681
1.36,-1.21825546859693
1.364,-1.20702178980499
1.368,-1.19607905650756
1.372,-1.18541839549425
1.376,-1.17503128172396
1.38,-1.16490952218595
1.384,-1.15504524062058
1.388,-1.14543086304842
