"Freq [GHz]","im(Z(1,1)) []"
0.2,-1251.10642370178
0.204,-1225.81247824871
0.208,-1201.4759654866
0.212,-1178.04265521405
0.216,-1155.46233349315
0.22,-1133.68843752877
0.224,-1112.67772966779
0.228,-1092.39000571405
0.232,-1072.78783341754
0.236,-1053.83631755771
0.24,-1035.50288851839
0.244,-1017.75711165844
0.248,-1000.57051513035
0.252,-983.916434096913
0.256,-967.769869552435
0.26,-952.10736017579
0.264,-936.906865833041
0.268,-922.147661512549
0.272,-907.810240618659
0.276,-893.876226674499
0.28,-880.328292593016
0.284,-867.150086770064
0.288,-854.326165336288
0.292,-841.841929977256
0.296,-829.683570795077
0.3,-817.838013740995
0.304,-806.292872197933
0.308,-795.036402335723
0.312,-784.057461900442
0.316,-773.345472133571
0.32,-762.890382547109
0.324,-752.682638307844
0.328,-742.713150008027
0.332,-732.973265621203
0.336,-723.454744461095
0.34,-714.149732978576
0.344,-705.050742247128
0.348,-696.150627000928
0.352,-687.442566102047
0.356,-678.920044324369
0.36,-670.576835351814
0.364,-662.406985897457
0.368,-654.404800858254
0.372,-646.564829427419
0.376,-638.881852093157
0.38,-631.350868458419
0.384,-623.96708582182
0.388,-616.725908464789
0.392,-609.622927594517
0.396,-602.653911896303
0.4,-595.814798652673
0.404,-589.101685389961
0.408,-582.510822016172
0.412,-576.038603416727
0.416,-569.681562477274
0.42,-563.436363505091
0.424,-557.299796022758
0.428,-551.268768909741
0.432,-545.340304869344
0.436,-539.51153520012
0.44,-533.779694852376
0.444,-528.14211775179
0.448,-522.59623237343
0.452,-517.139557550694
0.456,-511.7696985047
0.46,-506.48434308075
0.464,-501.281258179343
0.468,-496.158286370101
0.472,-491.113342677762
0.476,-486.144411530112
0.48,-481.249543858414
0.484,-476.426854341496
0.488,-471.67451878527
0.492,-466.99077162997
0.496,-462.373903577884
0.5,-457.822259334848
0.504,-453.33423545917
0.508,-448.908278312065
0.512,-444.542882104049
0.516,-440.236587032076
0.52,-435.987977502539
0.524,-431.795680435543
0.528,-427.658363646133
0.532,-423.574734298433
0.536,-419.543537428882
0.54,-415.563554534975
0.544,-411.633602226154
0.548,-407.752530933649
0.552,-403.919223676301
0.556,-400.132594879523
0.56,-396.391589244756
0.564,-392.695180666905
0.568,-389.042371197391
0.572,-385.432190050583
0.576,-381.863692651494
0.58,-378.33595972276
0.584,-374.848096409001
0.588,-371.399231436798
0.592,-367.988516308586
0.596,-364.615124528876
0.6,-361.27825086129
0.604,-357.977110614989
0.608,-354.71093895912
0.612,-351.478990264022
0.616,-348.280537467951
0.62,-345.114871468181
0.624,-341.981300535386
0.628,-338.879149750259
0.632,-335.807760461382
0.636,-332.766489763407
0.64,-329.75470999467
0.644,-326.771808253368
0.648,-323.81718593152
0.652,-320.890258265929
0.656,-317.990453905426
0.66,-315.117214493703
0.664,-312.269994267065
0.668,-309.448259666494
0.672,-306.65148896341
0.676,-303.879171898561
0.68,-301.130809333513
0.684,-298.405912914206
0.688,-295.704004746094
0.692,-293.024617080393
0.696,-290.367292010993
0.7,-287.731581181598
0.704,-285.117045502699
0.708,-282.52325487797
0.712,-279.949787939739
0.716,-277.39623179315
0.72,-274.862181768704
0.724,-272.34724118283
0.728,-269.851021106194
0.732,-267.373140139432
0.736,-264.91322419604
0.74,-262.470906292136
0.744,-260.045826342836
0.748,-257.637630965006
0.752,-255.24597328613
0.756,-252.870512759095
0.76,-250.510914982643
0.764,-248.16685152731
0.768,-245.837999766625
0.772,-243.5240427134
0.776,-241.224668860912
