"Theta [deg]","normalize(GainTotal) [] - Freq='0.09GHz' Phi='0deg'"
0,3.25541764283386E-08
2,0.00121828425439776
4,0.0048582047593071
6,0.0109022448255448
8,0.0193212604684185
10,0.0300746490785602
12,0.043110539187947
14,0.0583660331164886
16,0.0757675015118997
18,0.0952309285781544
20,0.116662306571845
22,0.13995807793168
24,0.165005623194707
26,0.191683792644266
28,0.219863479429883
30,0.249408231699141
32,0.280174901086994
34,0.3120143247199
36,0.344772037711895
38,0.37828901295823
40,0.412402424870981
42,0.446946433551223
44,0.481752985755465
46,0.516652628891334
48,0.551475334170437
50,0.586051324956253
52,0.620211906273128
54,0.653790291390231
56,0.686622421362837
58,0.718547773403605
60,0.74941015396943
62,0.779058472485886
64,0.807347491691669
66,0.834138550670207
68,0.859300256744991
70,0.882709142548964
72,0.904250284736375
74,0.923817880987181
76,0.941315782158701
78,0.95665797666567
80,0.969769024416966
82,0.980584437903526
84,0.98905100831565
86,0.995127074867172
88,0.998782735816679
90,1
92,0.998772878021003
94,0.995107412587085
96,0.989021647818862
98,0.98054553770803
100,0.969720794240467
102,0.95660067604083
104,0.941249718727657
106,0.923743408491689
108,0.904167800722741
110,0.882619085809302
112,0.85920310451854
114,0.834034815630196
116,0.807237718744694
118,0.778943235411808
120,0.749290051930525
122,0.718423427352027
124,0.686494470375398
126,0.653659388959169
128,0.620078716580768
130,0.585916519160498
132,0.551339586726735
134,0.516516613935219
136,0.481617373568069
138,0.446811887128235
140,0.412269596613525
142,0.378158541501988
144,0.344644544908647
146,0.311890412783464
148,0.280055149913355
150,0.249293196368476
152,0.2197536878961
154,0.191579743615785
156,0.164907784208365
158,0.139866883620021
160,0.116578157122527
162,0.0951541883829255
164,0.0756984980014465
166,0.0583050557765208
168,0.043057838751146
170,0.0300304368864623
172,0.0192857079969303
174,0.0108754833676056
176,0.00484032525819031
178,0.00120933728127901
180,2.84238744689947E-08
