"Freq [GHz]","re(Z(1,1)) []"
0.2,8.21890845450047
0.204,8.22399448454252
0.208,8.23006881205116
0.212,8.23708472478903
0.216,8.24499995822933
0.22,8.25377621942494
0.224,8.2633787700774
0.228,8.27377606026973
0.232,8.2849394062668
0.236,8.29684270618721
0.24,8.30946218874929
0.244,8.32277619064342
0.248,8.33676495896047
0.252,8.35141047548548
0.256,8.36669630013556
0.26,8.38260743124565
0.264,8.39913018064432
0.268,8.41625206178462
0.272,8.43396168939598
0.276,8.45224868934884
0.28,8.47110361754888
0.284,8.49051788690416
0.288,8.51048370141024
0.292,8.53099399662102
0.296,8.55204238582724
0.3,8.57362311131603
0.304,8.59573100019104
0.308,8.61836142428856
0.312,8.64151026377655
0.316,8.66517387406155
0.32,8.68934905567234
0.324,8.71403302684476
0.328,8.73922339854163
0.332,8.76491815166306
0.336,8.79111561626597
0.34,8.81781445259316
0.344,8.84501363373889
0.348,8.87271242982971
0.352,8.90091039355072
0.356,8.92960734693103
0.36,8.95880336926704
0.364,8.98849878607329
0.368,9.01869415899406
0.372,9.04939027660079
0.376,9.08058814596026
0.38,9.11228898496742
0.384,9.14449421535123
0.388,9.17720545629567
0.392,9.21042451864639
0.396,9.24415339964082
0.4,9.27839427815212
0.404,9.31314951036788
0.408,9.34842162589661
0.412,9.38421332427837
0.416,9.42052747185654
0.42,9.457367098985
0.424,9.49473539755778
0.428,9.53263571884323
0.432,9.57107157158102
0.436,9.61004662035386
0.44,9.64956468419744
0.444,9.68962973544331
0.448,9.73024589877362
0.452,9.77141745048975
0.456,9.81314881796336
0.46,9.85544457928073
0.464,9.89830946305382
0.468,9.94174834839832
0.472,9.98576626507378
0.476,10.0303683937651
0.48,10.0755600665186
0.484,10.1213467673035
0.488,10.1677341327168
0.492,10.2147279528081
0.496,10.2623341720314
0.5,10.3105588903119
0.504,10.3594083642304
0.508,10.4088890083209
0.512,10.45900739647
0.516,10.5097702634291
0.52,10.5611845064274
0.524,10.6132571868854
0.528,10.6659955322301
0.532,10.7194069378012
0.536,10.773498968867
0.54,10.8282793627197
0.544,10.8837560308742
0.548,10.9399370613603
0.552,10.9968307211002
0.556,11.0544454583871
0.56,11.1127899054492
0.564,11.1718728811065
0.568,11.2317033935184
0.572,11.2922906430276
0.576,11.35364402509
0.58,11.4157731332952
0.584,11.4786877624888
0.588,11.5423979119783
0.592,11.6069137888367
0.596,11.6722458113023
0.6,11.7384046122705
0.604,11.8054010428845
0.608,11.8732461762229
0.612,11.9419513110873
0.616,12.0115279758881
0.62,12.0819879326354
0.624,12.1533431810277
0.628,12.2256059626529
0.632,12.298788765287
0.636,12.3729043273109
0.64,12.4479656422274
0.644,12.5239859633004
0.648,12.6009788082994
0.652,12.6789579643679
0.656,12.7579374930054
0.66,12.8379317351739
0.664,12.9189553165264
0.668,13.0010231527611
0.672,13.0841504551086
0.676,13.1683527359436
0.68,13.2536458145379
0.684,13.3400458229482
0.688,13.4275692120428
0.692,13.5162327576748
0.696,13.6060535670008
0.7,13.6970490849512
0.704,13.7892371008524
0.708,13.8826357552087
0.712,13.9772635466425
0.716,14.0731393390049
0.72,14.1702823686485
0.724,14.2687122518785
0.728,14.3684489925781
0.732,14.4695129900177
0.736,14.5719250468494
0.74,14.6757063772914
0.744,14.7808786155078
0.748,14.8874638241915
0.752,14.9954845033488
0.756,15.1049635992963
0.76,15.2159245138738
0.764,15.3283911138783
0.768,15.4423877407257
0.772,15.5579392203423
0.776,15.6750708732994
0.78,15.7938085251899
0.784,15.9141785172572
0.788,16.0362077172815
0.792,16.1599235307307
0.796,16.2853539121832
0.8,16.4125273770284
0.804,16.541473013453
0.808,16.6722204947214
0.812,16.8048000917564
0.816,16.9392426860295
0.82,17.075579782767
0.824,17.2138435244838
0.828,17.35406670485
0.832,17.4962827829007
0.836,17.6405258975986
0.84,17.7868308827589
0.844,17.9352332823439
0.848,18.0857693661412
0.852,18.2384761458321
0.856,18.3933913914636
0.86,18.5505536483321
0.864,18.7100022542932
0.868,18.8717773575056
0.872,19.0359199346248
0.876,19.2024718094549
0.88,19.3714756720738
0.884,19.5429750984441
0.888,19.7170145705221
0.892,19.8936394968786
0.896,20.0728962338481
0.9,20.2548321072161
0.904,20.4394954344643
0.908,20.6269355475861
0.912,20.8172028164883
0.916,21.010348672996
0.92,21.206425635478
0.924,21.4054873341078
0.928,21.6075885367789
0.932,21.8127851756937
0.936,22.0211343746421
0.94,22.2326944769917
0.944,22.4475250744074
0.948,22.6656870363205
0.952,22.8872425401712
0.956,23.1122551024413
0.96,23.3407896105031
0.964,23.5729123553057
0.968,23.8086910649209
0.972,24.0481949389751
0.976,24.2914946839902
0.98,24.5386625496588
0.984,24.7897723660809
0.988,25.0448995819877
0.992,25.3041213039811
0.996,25.5675163368157
1,25.8351652247543
1.004,26.1071502940256
1.008,26.3835556964142
1.012,26.664467454016
1.016,26.9499735051906
1.02,27.2401637517431
1.024,27.5351301073709
1.028,27.83496654741
1.032,28.1397691599156
1.036,28.4496361981163
1.04,28.7646681342773
1.044,29.0849677150129
1.048,29.4106400180876
1.052,29.7417925107473
1.056,30.0785351096206
1.06,30.4209802422358
1.064,30.7692429101956
1.068,31.1234407540539
1.072,31.4836941199442
1.076,31.8501261280019
1.08,32.2228627426331
1.084,32.602032844676
1.088,32.9877683055078
1.092,33.3802040631466
1.096,33.7794782004025
1.1,34.1857320251301
1.104,34.5991101526392
1.108,35.0197605903171
1.112,35.447834824522
1.116,35.8834879098032
1.12,36.3268785605088
1.124,36.7781692448404
1.128,37.237526281415
1.132,37.7051199383976
1.136,38.1811245352658
1.14,38.6657185472706
1.144,39.1590847126587
1.148,39.6614101427191
1.152,40.1728864347231
1.156,40.6937097878202
1.16,41.2240811219599
1.164,41.7642061999045
1.168,42.314295752401
1.172,42.8745656065787
1.176,43.4452368176416
1.18,44.0265358039196
1.184,44.6186944853486
1.188,45.2219504254427
1.192,45.8365469768252
1.196,46.4627334303815
1.2,47.1007651680981
1.204,47.7509038196467
1.208,48.4134174227734
1.212,49.0885805875508
1.216,49.7766746645441
1.22,50.4779879169458
1.224,51.1928156967218
1.228,51.9214606248167
1.232,52.6642327754518
1.236,53.4214498645533
1.24,54.1934374423351
1.244,54.9805290900576
1.248,55.7830666209765
1.252,56.6014002854851
1.256,57.4358889804481
1.26,58.2869004627109
1.264,59.1548115667599
1.268,60.0400084264983
1.272,60.9428867010824
1.276,61.8638518047579
1.28,62.8033191406098
1.284,63.7617143381313
1.288,64.7394734944877
1.292,65.7370434193401
1.296,66.7548818830641
1.3,67.7934578681744
1.304,68.8532518237432
1.308,69.9347559225651
1.312,71.0384743207917
1.316,72.1649234197269
1.32,73.3146321294281
1.324,74.4881421337291
1.328,75.686008156244
1.332,76.9087982268735
1.336,78.1570939482766
1.34,79.4314907617201
1.344,80.7325982116526
1.348,82.0610402082907
1.352,83.4174552874307
1.356,84.8024968666291
1.36,86.216833496805
1.364,87.6611491082459
1.368,89.1361432498915
1.372,90.6425313206784
1.376,92.1810447916177
1.38,93.7524314171691
1.384,95.3574554343459
1.388,96.9968977478611
1.392,98.6715560994805
1.396,100.382245219607
1.4,102.129796958954
1.404,103.915060398003
1.408,105.738901931769
1.412,107.602205327181
1.416,109.505871750224
1.42,111.450819759745
1.424,113.437985264604
1.428,115.468321440625
1.432,117.542798603558
1.436,119.662404033962
1.44,121.828141749688
1.444,124.041032221323
1.448,126.302112025653
1.452,128.612433431903
1.456,130.973063915161
1.46,133.385085591061
1.464,135.84959456544
1.468,138.367700192324
1.472,140.940524233206
1.476,143.569199910203
1.48,146.254870845281
1.484,148.998689877334
1.488,151.801817748499
1.492,154.665421650674
1.496,157.590673622814
1.5,160.578748789177
1.504,163.630823428287
1.508,166.748072862025
1.512,169.931669153895
1.516,173.182778605168
1.52,176.502559037337
1.524,179.892156849024
1.528,183.352703835311
1.532,186.885313757278
1.536,190.491078649491
1.54,194.171064853141
1.544,197.92630876269
1.548,201.757812274023
1.552,205.666537922493
1.556,209.653403699668
1.56,213.719277538263
1.564,217.86497145551
1.568,222.091235346252
1.572,226.398750418235
1.576,230.788122263593
1.58,235.259873562157
1.584,239.814436414334
1.588,244.452144303506
1.592,249.173223690641
1.596,253.977785246752
1.6,258.865814732223
1.604,263.837163535776
1.608,268.891538890047
1.612,274.028493785288
1.616,279.247416607754
1.62,284.547520534789
1.624,289.927832724469
1.628,295.387183343998
1.632,300.924194487737
1.636,306.537269042786
1.64,312.224579567509
1.644,317.984057256016
1.648,323.81338106955
1.652,329.709967123778
1.656,335.670958429027
1.66,341.693215088574
1.664,347.77330506785
1.668,353.90749565497
1.672,360.091745739864
1.676,366.321699045669
1.68,372.592678451356
1.684,378.899681548949
1.688,385.237377581639
1.692,391.600105910667
1.696,397.981876158493
1.7,404.376370173626
1.704,410.77694595797
1.708,417.176643690785
1.712,423.568193973941
1.716,429.944028411025
1.72,436.296292617936
1.724,442.61686174476
1.728,448.897358567966
1.732,455.12917418839
1.736,461.303491344137
1.74,467.411310318712
1.744,473.443477393479
1.748,479.390715760707
1.752,485.243658778799
1.756,490.992885415983
1.76,496.628957692926
1.764,502.142459899206
1.768,507.524039324095
1.772,512.764448209243
1.776,517.854586600619
1.78,522.785545749916
1.784,527.548651692549
1.788,532.13550861088
1.792,536.53804157817
1.796,540.748538271243
1.8,544.759689238861
